district_code,district_name,district_seat,district_type,state
5566,Steinfurt,",",43,Nordrhein-Westfalen
5570,Warendorf,",",43,Nordrhein-Westfalen
5711,"Bielefeld, Stadt",Bielefeld,41,Nordrhein-Westfalen
5754,Gütersloh,",",43,Nordrhein-Westfalen
5758,Herford,",",43,Nordrhein-Westfalen
5762,Höxter,",",43,Nordrhein-Westfalen
5766,Lippe,",",43,Nordrhein-Westfalen
5770,Minden-Lübbecke,",",43,Nordrhein-Westfalen
5774,Paderborn,",",43,Nordrhein-Westfalen
5911,"Bochum, Stadt",Bochum,41,Nordrhein-Westfalen
5913,"Dortmund, Stadt",Dortmund,41,Nordrhein-Westfalen
5914,"Hagen, Stadt der FernUniversität",Hagen,41,Nordrhein-Westfalen
5915,"Hamm, Stadt",Hamm,41,Nordrhein-Westfalen
5916,"Herne, Stadt",Herne,41,Nordrhein-Westfalen
5954,Ennepe-Ruhr-Kreis,",",43,Nordrhein-Westfalen
5958,Hochsauerlandkreis,",",43,Nordrhein-Westfalen
5962,Märkischer Kreis,",",43,Nordrhein-Westfalen
5966,Olpe,",",43,Nordrhein-Westfalen
5970,Siegen-Wittgenstein,",",43,Nordrhein-Westfalen
5974,Soest,",",43,Nordrhein-Westfalen
5978,Unna,",",43,Nordrhein-Westfalen
6051,"Erfurt, Stadt",Erfurt,41,Thüringen
6052,"Gera, Stadt",Gera,41,Thüringen
6053,"Jena, Stadt",Jena,41,Thüringen
6054,"Suhl, Stadt",Suhl,41,Thüringen
6055,"Weimar, Stadt",Weimar,41,Thüringen
6061,Eichsfeld,",",44,Thüringen
6062,Nordhausen,",",44,Thüringen
6063,Wartburgkreis,",",44,Thüringen
6064,Unstrut-Hainich-Kreis,",",44,Thüringen
6065,Kyffhäuserkreis,",",44,Thüringen
6066,Schmalkalden-Meiningen,",",44,Thüringen
6067,Gotha,",",44,Thüringen
6068,Sömmerda,",",44,Thüringen
6069,Hildburghausen,",",44,Thüringen
6070,Ilm-Kreis,",",44,Thüringen
6071,Weimarer Land,",",44,Thüringen
6072,Sonneberg,",",44,Thüringen
6073,Saalfeld-Rudolstadt,",",44,Thüringen
6074,Saale-Holzland-Kreis,",",44,Thüringen
6075,Saale-Orla-Kreis,",",44,Thüringen
6076,Greiz,",",44,Thüringen
6077,Altenburger Land,",",44,Thüringen
6411,"Darmstadt, Wissenschaftsstadt",Darmstadt,41,Hessen
6412,"Frankfurt am Main, Stadt",Frankfurt am Main,41,Hessen
6413,"Offenbach am Main, Stadt",Offenbach am Main,41,Hessen
6414,"Wiesbaden, Landeshauptstadt",Wiesbaden,41,Hessen
6415,"Hanau, Brüder-Grimm-Stadt",Hanau,41,Hessen
6431,Bergstraße,",",44,Hessen
6432,Darmstadt-Dieburg,",",44,Hessen
6433,Groß-Gerau,",",44,Hessen
6434,Hochtaunuskreis,",",44,Hessen
6435,Main-Kinzig-Kreis,",",44,Hessen
6436,Main-Taunus-Kreis,",",44,Hessen
6437,Odenwaldkreis,",",44,Hessen
6438,Offenbach,",",44,Hessen
6439,Rheingau-Taunus-Kreis,",",44,Hessen
6440,Wetteraukreis,",",44,Hessen
6531,Gießen,",",44,Hessen
6532,Lahn-Dill-Kreis,",",44,Hessen
6533,Limburg-Weilburg,",",44,Hessen
6534,Marburg-Biedenkopf,",",44,Hessen
6535,Vogelsbergkreis,",",44,Hessen
6611,"Kassel, documenta-Stadt",Kassel,41,Hessen
6631,Fulda,",",44,Hessen
6632,Hersfeld-Rotenburg,",",44,Hessen
6633,Kassel,",",44,Hessen
6634,Schwalm-Eder-Kreis,",",44,Hessen
6635,Waldeck-Frankenberg,",",44,Hessen
6636,Werra-Meißner-Kreis,",",44,Hessen
7111,"Koblenz, kreisfreie Stadt",Koblenz,41,Rheinland-Pfalz
7131,Ahrweiler,",",44,Rheinland-Pfalz
7132,Altenkirchen (Westerwald),",",44,Rheinland-Pfalz
7133,Bad Kreuznach,",",44,Rheinland-Pfalz
7134,Birkenfeld,",",44,Rheinland-Pfalz
7135,Cochem-Zell,",",44,Rheinland-Pfalz
7137,Mayen-Koblenz,",",44,Rheinland-Pfalz
7138,Neuwied,",",44,Rheinland-Pfalz
7140,Rhein-Hunsrück-Kreis,",",44,Rheinland-Pfalz
7141,Rhein-Lahn-Kreis,",",44,Rheinland-Pfalz
7143,Westerwaldkreis,",",44,Rheinland-Pfalz
7211,"Trier, kreisfreie Stadt",Trier,41,Rheinland-Pfalz
7231,Bernkastel-Wittlich,",",44,Rheinland-Pfalz
